source_building_id,target_building_id,source_node_index,target_node_index,weight,is_self_loop
7,7,0,0,0.08442651480436325,True
7,13,0,2,0.04548635706305504,False
7,161,0,24,0.03866736963391304,False
7,180,0,41,0.050692688673734665,False
7,181,0,42,0.039961863309144974,False
7,192,0,50,0.033171385526657104,False
7,194,0,51,0.06181679666042328,False
7,197,0,53,0.05610935017466545,False
7,205,0,60,0.03436204791069031,False
7,219,0,72,0.0412064790725708,False
7,249,0,95,0.052719078958034515,False
7,285,0,119,0.05564536526799202,False
7,791,0,146,0.050003036856651306,False
7,933,0,200,0.032848622649908066,False
7,1132,0,285,0.0527426116168499,False
7,1177,0,312,0.0507543683052063,False
7,1193,0,319,0.04497921094298363,False
7,1258,0,367,0.04858728498220444,False
7,1310,0,411,0.03176635503768921,False
7,1349,0,438,0.05374981090426445,False
7,1363,0,450,0.040303442627191544,False
9,9,1,1,0.07754988968372345,True
9,13,1,2,0.05400910973548889,False
9,14,1,3,0.04222934693098068,False
9,31,1,8,0.053422313183546066,False
9,167,1,28,0.04557250067591667,False
9,179,1,40,0.047588735818862915,False
9,197,1,53,0.035696402192115784,False
9,244,1,90,0.04124576225876808,False
9,282,1,117,0.03504092991352081,False
9,285,1,119,0.03318067640066147,False
9,776,1,138,0.06901836395263672,False
9,903,1,176,0.04150652140378952,False
9,932,1,199,0.041255127638578415,False
9,942,1,203,0.036151159554719925,False
9,1072,1,258,0.060300860553979874,False
9,1101,1,275,0.03934648633003235,False
9,1137,1,288,0.06999421119689941,False
9,1187,1,316,0.046183716505765915,False
9,1249,1,360,0.033300381153821945,False
9,1286,1,389,0.04840676486492157,False
9,1376,1,457,0.04900072515010834,False
13,7,2,0,0.04305046424269676,False
13,9,2,1,0.0556495226919651,False
13,13,2,2,0.07990530133247375,True
13,194,2,51,0.05859829857945442,False
13,197,2,53,0.06716715544462204,False
13,205,2,60,0.05045206844806671,False
13,229,2,80,0.051254287362098694,False
13,255,2,100,0.04143688082695007,False
13,267,2,109,0.049829136580228806,False
13,285,2,119,0.052777763456106186,False
13,753,2,129,0.033626899123191833,False
13,776,2,138,0.051291320472955704,False
13,800,2,153,0.0471152737736702,False
13,920,2,190,0.03781317174434662,False
13,1072,2,258,0.042425744235515594,False
13,1107,2,277,0.034131187945604324,False
13,1132,2,285,0.04593165963888168,False
13,1137,2,288,0.03381164371967316,False
13,1177,2,312,0.04202659800648689,False
13,1223,2,335,0.03853129968047142,False
13,1258,2,367,0.04317430034279823,False
14,9,3,1,0.04104705527424812,False
14,14,3,3,0.07537873089313507,True
14,167,3,28,0.06119101867079735,False
14,178,3,39,0.05096986144781113,False
14,179,3,40,0.03624043986201286,False
14,235,3,84,0.04001043364405632,False
14,255,3,100,0.04946701228618622,False
14,268,3,110,0.058683086186647415,False
14,789,3,144,0.040994901210069656,False
14,880,3,159,0.045748475939035416,False
14,962,3,217,0.03870716691017151,False
14,972,3,226,0.04895118251442909,False
14,1017,3,250,0.035548653453588486,False
14,1072,3,258,0.04118264839053154,False
14,1101,3,275,0.05336376652121544,False
14,1137,3,288,0.04151633754372597,False
14,1187,3,316,0.05457865446805954,False
14,1232,3,343,0.036981791257858276,False
14,1249,3,360,0.05279669538140297,False
14,1286,3,389,0.05150887370109558,False
14,1288,3,391,0.04513322934508324,False
15,15,4,4,0.08951655775308609,True
15,91,4,17,0.03781403601169586,False
15,170,4,31,0.04993286728858948,False
15,203,4,58,0.0482371486723423,False
15,207,4,62,0.049253012984991074,False
15,237,4,86,0.062430936843156815,False
15,264,4,107,0.06984550505876541,False
15,774,4,137,0.037246860563755035,False
15,787,4,143,0.03959951549768448,False
15,895,4,170,0.03801528364419937,False
15,973,4,227,0.036565911024808884,False
15,991,4,238,0.036900121718645096,False
15,1083,4,265,0.039989132434129715,False
15,1214,4,329,0.0390954464673996,False
15,1238,4,349,0.03835539147257805,False
15,1248,4,359,0.06666717678308487,False
15,1285,4,388,0.037466298788785934,False
15,1311,4,412,0.05734013766050339,False
15,1348,4,437,0.03731651231646538,False
15,1368,4,453,0.04033062979578972,False
15,1379,4,459,0.04808151721954346,False
28,28,5,5,0.09432795643806458,True
28,55,5,11,0.06264067441225052,False
28,220,5,73,0.04809174686670303,False
28,277,5,114,0.05789799988269806,False
28,286,5,120,0.047317881137132645,False
28,789,5,144,0.05798374488949776,False
28,802,5,154,0.07106492668390274,False
28,917,5,188,0.04024717956781387,False
28,966,5,221,0.03824429586529732,False
28,969,5,224,0.033507999032735825,False
28,978,5,231,0.036104463040828705,False
28,1092,5,269,0.0347592867910862,False
28,1228,5,340,0.06001313030719757,False
28,1238,5,349,0.038648463785648346,False
28,1249,5,360,0.04355796054005623,False
28,1267,5,375,0.042231690138578415,False
28,1285,5,388,0.04171605408191681,False
28,1297,5,400,0.041849829256534576,False
28,1352,5,441,0.032366469502449036,False
28,1374,5,455,0.04024672135710716,False
28,1382,5,462,0.03718150034546852,False
29,29,6,6,0.07878182083368301,True
29,30,6,7,0.05883457139134407,False
29,78,6,15,0.047214657068252563,False
29,163,6,26,0.03870616853237152,False
29,176,6,37,0.046203646808862686,False
29,178,6,39,0.04239882156252861,False
29,233,6,82,0.051045194268226624,False
29,238,6,87,0.04269777983427048,False
29,290,6,122,0.03806189075112343,False
29,778,6,140,0.05056736245751381,False
29,890,6,166,0.04868583753705025,False
29,945,6,204,0.045999784022569656,False
29,951,6,208,0.04232577234506607,False
29,1017,6,250,0.04661620780825615,False
29,1104,6,276,0.0509190671145916,False
29,1127,6,282,0.04796496778726578,False
29,1163,6,307,0.052835769951343536,False
29,1164,6,308,0.04665105417370796,False
29,1272,6,380,0.04183535650372505,False
29,1285,6,388,0.039477068930864334,False
29,1291,6,394,0.04217718541622162,False
30,29,7,6,0.06427047401666641,False
30,30,7,7,0.08606071770191193,True
30,78,7,15,0.06502199172973633,False
30,97,7,21,0.05097958818078041,False
30,103,7,23,0.031065041199326515,False
30,163,7,26,0.047015123069286346,False
30,176,7,37,0.05414988473057747,False
30,178,7,39,0.03622382879257202,False
30,233,7,82,0.04760799929499626,False
30,236,7,85,0.060655344277620316,False
30,238,7,87,0.03754306212067604,False
30,286,7,120,0.06162247434258461,False
30,290,7,122,0.042638201266527176,False
30,778,7,140,0.05891992524266243,False
30,890,7,166,0.029112746939063072,False
30,945,7,204,0.05091985687613487,False
30,1104,7,276,0.06104540452361107,False
30,1127,7,282,0.029373090714216232,False
30,1154,7,299,0.02846062183380127,False
30,1241,7,352,0.02965695597231388,False
30,1366,7,451,0.0276576466858387,False
31,9,8,1,0.057193826884031296,False
31,31,8,8,0.083024762570858,True
31,96,8,20,0.06606439501047134,False
31,174,8,35,0.040962859988212585,False
31,179,8,40,0.05933231860399246,False
31,187,8,45,0.035374242812395096,False
31,238,8,87,0.04302457347512245,False
31,776,8,138,0.060998253524303436,False
31,790,8,145,0.06018755957484245,False
31,793,8,148,0.03737684711813927,False
31,942,8,203,0.03728276863694191,False
31,951,8,208,0.033417657017707825,False
31,962,8,217,0.03481590747833252,False
31,1072,8,258,0.04786254093050957,False
31,1073,8,259,0.03289882838726044,False
31,1080,8,264,0.04252634570002556,False
31,1137,8,288,0.05461111292243004,False
31,1206,8,323,0.0339597724378109,False
31,1250,8,361,0.03501566872000694,False
31,1323,8,419,0.06358034163713455,False
31,1376,8,457,0.04048944637179375,False
43,7,9,0,0.03195079043507576,False
43,43,9,9,0.0993092730641365,True
43,194,9,51,0.062331076711416245,False
43,245,9,91,0.054935481399297714,False
43,258,9,103,0.0831647589802742,False
43,271,9,112,0.030746523290872574,False
43,769,9,134,0.06923218816518784,False
43,777,9,139,0.06796390563249588,False
43,792,9,147,0.039315611124038696,False
43,931,9,198,0.03024241514503956,False
43,935,9,202,0.03227279335260391,False
43,957,9,212,0.03554520383477211,False
43,958,9,213,0.03561750799417496,False
43,974,9,228,0.03603745996952057,False
43,992,9,239,0.0353226400911808,False
43,994,9,240,0.037054404616355896,False
43,1132,9,285,0.06757394224405289,False
43,1158,9,302,0.03925954923033714,False
43,1201,9,321,0.04348817467689514,False
43,1202,9,322,0.03147076070308685,False
43,1300,9,403,0.03716554865241051,False
50,50,10,10,0.09596500545740128,True
50,98,10,22,0.04374144971370697,False
50,173,10,34,0.032153017818927765,False
50,175,10,36,0.04886589199304581,False
50,180,10,41,0.03284408524632454,False
50,217,10,71,0.0571410171687603,False
50,225,10,77,0.07686248421669006,False
50,792,10,147,0.06915999948978424,False
50,795,10,149,0.056316111236810684,False
50,875,10,156,0.032403118908405304,False
50,968,10,223,0.03379874303936958,False
50,1132,10,285,0.0489385649561882,False
50,1139,10,289,0.039848148822784424,False
50,1193,10,319,0.05006065592169762,False
50,1243,10,354,0.036896366626024246,False
50,1247,10,358,0.044076696038246155,False
50,1275,10,383,0.05341729894280434,False
50,1301,10,404,0.03383377939462662,False
50,1319,10,416,0.042778655886650085,False
50,1353,10,442,0.0329415425658226,False
50,1397,10,473,0.03795740753412247,False
55,28,11,5,0.0592825785279274,False
55,55,11,11,0.08927113562822342,True
55,204,11,59,0.06199592351913452,False
55,220,11,73,0.0564146414399147,False
55,226,11,78,0.036965999752283096,False
55,234,11,83,0.05478191003203392,False
55,263,11,106,0.03731280565261841,False
55,770,11,135,0.053418952971696854,False
55,789,11,144,0.034800682216882706,False
55,917,11,188,0.04817047342658043,False
55,953,11,210,0.03458389267325401,False
55,978,11,231,0.040739506483078,False
55,1136,11,287,0.03875184431672096,False
55,1140,11,290,0.04717475175857544,False
55,1220,11,334,0.055669087916612625,False
55,1235,11,346,0.035101715475320816,False
55,1259,11,368,0.04233114793896675,False
55,1285,11,388,0.04144305735826492,False
55,1302,11,405,0.047369059175252914,False
55,1362,11,449,0.0473298504948616,False
55,1366,11,451,0.037090964615345,False
60,60,12,12,0.09002489596605301,True
60,76,12,14,0.032890915870666504,False
60,78,12,15,0.04753933846950531,False
60,96,12,20,0.03698854148387909,False
60,174,12,35,0.03176061436533928,False
60,189,12,47,0.05620984360575676,False
60,208,12,63,0.07003907114267349,False
60,249,12,95,0.037311308085918427,False
