epoch,train_loss,train_zero_classification_loss,train_positive_regression_loss,train_zero_suppression_loss,validation_mse,validation_mae,validation_r2,validation_smape,validation_rmse,validation_rmsle,validation_thresholded_rmsle,validation_zero_f1,validation_mean_prediction_on_zero,validation_evaluated_row_count,validation_skipped_row_count,validation_unknown_node_row_count
1,0.06366891221467674,0.2242552058263917,0.0056161443182934645,0.02528527112296846,0.05829393757551644,0.16498160974472326,-0.1802229882426234,114.88408716774371,0.24144137502821764,0.18947138270485714,0.19013167861054375,0.6311130539314791,0.07169121664187025,126372,0,0
2,0.05085781355997925,0.17720464585636084,0.004400257193130008,0.022054563714955726,0.06374809259743817,0.17969675137232174,-0.29064817834017087,113.37609104301185,0.25248384621087777,0.19060759272876546,0.1924415307341433,0.6394949756377508,0.08043983430662649,126372,0,0
3,0.048873705608216245,0.17012775309373043,0.004212965560202355,0.02140740976377925,0.052899768060737706,0.15092081865019832,-0.07101226876476674,113.42037617950949,0.22999949578365972,0.18320709164630136,0.18412266413330347,0.6346108325622432,0.058156022235502314,126372,0,0
4,0.047631092837770624,0.1655584577205325,0.004116621074302021,0.020953860719129597,0.05520814516477025,0.15266126655396925,-0.11774782716108945,114.42660743914226,0.23496413591178175,0.1847917967277809,0.18566269403849273,0.6462247205257708,0.04395318864393424,126372,0,0
5,0.04658524444955721,0.16190169474054703,0.004037426066926161,0.020433508690192528,0.058010655427055136,0.17039315975062636,-0.1744876387761427,100.83582053111573,0.24085401268622272,0.1840317495888055,0.18569905705749248,0.6715860435455954,0.1164180106599386,126372,0,0
6,0.04574259966626051,0.1588055665343679,0.003965094020915995,0.020170991735091848,0.0467703310840465,0.1376984260518033,0.05308472529235919,112.81265280242248,0.21626449335026426,0.17469038770245468,0.1753246022745727,0.6364596332917347,0.045295905993140886,126372,0,0
7,0.04513065373621413,0.15642580763137365,0.0039184094254754945,0.020028908910380228,0.04489078482948913,0.13390127113506126,0.09113814541379583,102.00717340064178,0.21187445534912683,0.16715599831838857,0.16788599585786898,0.6903064986132078,0.052817321922906134,126372,0,0
8,0.04441853671226081,0.15398498161606808,0.003866208669086597,0.019630407443166395,0.04336716761076199,0.13250399036986754,0.12198540229183041,111.25486143089887,0.2082478513953073,0.16827461751125505,0.1691265552335915,0.6482032999282623,0.04321963812060988,126372,0,0
9,0.04376555444777024,0.15152977254841993,0.0038275942479703367,0.0193480356132058,0.04455812807648897,0.12567956671820865,0.09787313645083706,99.6558099328411,0.21108796288867107,0.1675746133899526,0.16940508975341215,0.6811770975190953,0.06244059221906556,126372,0,0
10,0.0431460572979565,0.14931072124241274,0.0037902129214137026,0.019011621808690926,0.04399783359881674,0.13001636756939242,0.10921689620076847,104.78063396818207,0.20975660561426127,0.1677376364881496,0.16839031998593637,0.6632399574141701,0.06421194975495546,126372,0,0
11,0.042408263787452785,0.146404490592101,0.003753001926234005,0.018737870260722548,0.06495730026510346,0.17891488136439368,-0.31512987826118,109.50762509283139,0.25486722085255187,0.1943366982990797,0.19513271661985646,0.6889569829110195,0.06870256079474052,126372,0,0
