feature,importance
site_id,32.403621673583984
precip_depth_1_hr_missing,21.865995407104492
age,20.1705379486084
age_missing,13.607852935791016
year_built,11.559490203857422
square_feet,10.37529182434082
building_id,8.470277786254883
floor_count,8.147125244140625
month_datetime,5.034445285797119
primary_use,4.709841251373291
air_temperature,3.0016422271728516
dayofyear_datetime,2.886502742767334
weekofyear_datetime,2.205944299697876
precip_depth_1_hr,2.0441172122955322
floor_count_missing,1.026145339012146
hour_datetime,0.7200328707695007
dew_temperature,0.661483108997345
day_month_datetime,0.5051822662353516
day_week,0.427314430475235
week_month_datetime,0.3854067623615265
sea_level_pressure,0.3715236485004425
year_built_missing,0.24847912788391113
cloud_coverage,0.2338845431804657
cloud_coverage_missing,0.20885562896728516
wind_direction,0.2005906105041504
wind_speed,0.17841836810112
beaufort_scale,0.1624506711959839
wind_direction_missing,0.06412692368030548
sea_level_pressure_missing,0.05423174425959587
beaufort_scale_missing,3.1031668186187744e-06
dew_temperature_missing,0.0
wind_speed_missing,0.0
air_temperature_missing,0.0
meter,0.0
